class,ANN_AAC,RF_AAC,KNN_AAC,ERT_AAC,XGB_AAC,ANN_DPC,RF_DPC,KNN_DPC,ERT_DPC,XGB_DPC,ANN_CKSAAGP,RF_CKSAAGP,KNN_CKSAAGP,ERT_CKSAAGP,XGB_CKSAAGP,ANN_PAAC,RF_PAAC,KNN_PAAC,ERT_PAAC,XGB_PAAC,ANN_PHYC,RF_PHYC,KNN_PHYC,ERT_PHYC,XGB_PHYC
1,0.8146695378669497,0.5,0.8,0.61,0.6961615085601807,0.022902042620277115,0.45,1.0,0.32,0.47600501775741577,0.5711245604503182,0.45,1.0,0.38,0.08673184365034103,0.6185304006159889,0.5,0.6,0.52,0.4570090174674988,0.49539840289970466,0.63,0.0,0.67,0.45617520809173584
1,0.18994256896159256,0.43,0.8,0.42,0.4342319369316101,0.002617706409764203,0.29,0.8,0.19,0.03184787184000015,0.8673153005834486,0.53,0.4,0.52,0.702231764793396,0.13418141367798864,0.26,0.8,0.28,0.01945319026708603,0.21890205906826862,0.47,0.4,0.34,0.07750146090984344
1,0.2996738280964045,0.19,0.4,0.32,0.25402241945266724,0.08809250902548833,0.27,0.0,0.47,0.45049336552619934,0.5725334937937936,0.39,0.4,0.46,0.23901605606079102,0.24538181615690335,0.18,0.4,0.21,0.005000981502234936,0.28034376421872986,0.31,0.2,0.31,0.054427288472652435
1,0.12814486131668434,0.43,0.2,0.37,0.44946831464767456,0.9446654502508018,0.34,0.8,0.38,0.19731955230236053,0.7711463349825314,0.56,1.0,0.73,0.18030504882335663,0.17722701792949627,0.23,0.8,0.33,0.029391329735517502,0.46086536608533896,0.49,0.6,0.6,0.9149072766304016
1,0.8819597210619122,0.56,0.2,0.47,0.9848862290382385,0.9873987190944552,0.48,1.0,0.29,0.871777355670929,0.6232222852597655,0.49,0.2,0.46,0.7108402252197266,0.4069964716835368,0.57,0.2,0.67,0.986318826675415,0.5627092569626005,0.47,0.8,0.6,0.6801614761352539
1,0.908107859412587,0.83,0.8,0.99,0.9944739937782288,0.9955836660071113,0.88,1.0,0.99,0.9979169964790344,0.6735289957596552,0.81,0.8,0.91,0.9422106742858887,0.9504985910528633,0.77,0.6,0.94,0.9079898595809937,0.7050093962162625,0.6,0.6,0.85,0.9109021425247192
1,0.7719142783012312,0.36,0.4,0.41,0.11386466026306152,0.9888336689799611,0.5,0.8,0.79,0.8979359865188599,0.9981081498426683,0.58,0.2,0.6,0.9936298727989197,0.3031797849658566,0.42,1.0,0.31,0.9031609892845154,0.4447427781807916,0.38,0.8,0.39,0.5864962935447693
1,0.6968818278049314,0.78,0.6,0.73,0.9984753727912903,0.8474015694656598,0.64,1.0,0.7,0.6321571469306946,0.8266352502510003,0.75,1.0,0.75,0.9822831749916077,0.8359233331550373,0.84,0.6,0.68,0.9861781597137451,0.6045055696995439,0.58,0.2,0.49,0.5812884569168091
1,0.8200602376466867,0.43,0.2,0.5,0.5130099654197693,0.3381149666642582,0.32,1.0,0.46,0.09078920632600784,0.7822097378256727,0.54,0.8,0.53,0.9639748930931091,0.6698082561599029,0.44,0.2,0.37,0.09955363720655441,0.06709269046873076,0.13,0.4,0.12,0.03522498160600662
1,0.10775878228511576,0.33,0.6,0.41,0.6877241730690002,0.9887532895300611,0.49,1.0,0.62,0.5082760453224182,0.3694313602688318,0.54,1.0,0.54,0.8380930423736572,0.34898760137445745,0.31,0.4,0.33,0.3018466532230377,0.461670730879692,0.25,0.6,0.29,0.17339184880256653
1,0.015189064534513574,0.34,0.6,0.32,0.01831248588860035,0.5718592984228364,0.39,1.0,0.47,0.09332992881536484,0.0187395777198592,0.3,0.8,0.33,0.08940422534942627,0.17779765614216128,0.16,0.2,0.19,0.002126110950484872,0.24570999764792872,0.15,0.4,0.21,0.004038269631564617
1,0.8788029508402377,0.45,0.6,0.66,0.7516868114471436,0.999986742044556,0.67,1.0,0.73,0.9738491177558899,0.8525140125204446,0.57,0.8,0.53,0.8886118531227112,0.5925515794999656,0.34,0.2,0.46,0.7115010023117065,0.37998818425318964,0.6,0.2,0.49,0.6974613070487976
