,class,KNN_PAAC,KNN_DPC,ERT_CKSAAGP,KNN_AAC,ANN_DPC,ANN_AAC,KNN_CKSAAGP,KNN_PHYC,XGB_DPC
144,1,0.6,0.4,0.67,0.8,0.08679251413754269,0.9828468286667532,0.6,1.0,0.4060753285884857
145,1,0.2,0.2,0.32,0.4,0.014420346840701337,0.0006058295974199037,0.4,0.8,0.3929683864116669
146,1,1.0,1.0,0.99,1.0,0.9999999294081564,0.9999779405593716,1.0,1.0,0.9996497631072998
147,1,1.0,1.0,0.98,1.0,0.9999998927043472,0.9989967824775626,1.0,1.0,0.9998675584793092
148,1,0.8,0.6,1.0,0.6,0.9928209990581006,0.8204108090268606,0.6,0.4,0.967990517616272
149,1,1.0,1.0,0.95,1.0,0.999949891438874,0.9889669996302732,1.0,1.0,0.9972922205924988
150,1,1.0,1.0,0.87,1.0,0.9997697547429673,0.9978126414258816,1.0,1.0,0.9944000840187072
151,1,1.0,1.0,0.8,1.0,0.9971749081999968,0.9944234499947596,0.8,1.0,0.9942052960395812
152,1,1.0,1.0,1.0,1.0,0.9999987047395026,0.999741957757521,1.0,1.0,0.9998649358749391
153,1,0.6,0.8,1.0,0.6,0.9979700640297096,0.6920433925119064,0.8,0.6,0.9876247644424438
154,1,0.4,1.0,0.99,1.0,0.9948462660648952,0.9640917007024846,0.8,1.0,0.9837912321090698
155,1,1.0,0.4,0.98,1.0,0.9928276069273272,0.9980524487453056,1.0,1.0,0.9974040389060974
156,1,1.0,1.0,0.9,1.0,0.9823167672731996,0.9934804784071748,1.0,1.0,0.8854138255119324
157,1,1.0,0.2,0.75,0.4,0.9999046851010116,0.8952456022002978,0.2,0.8,0.9758388996124268
158,1,1.0,1.0,0.99,1.0,0.9999755609208449,0.9998147485667792,0.8,0.6,0.979973077774048
159,1,1.0,0.2,0.93,0.2,0.9976829933238904,0.4870824728460508,0.4,0.8,0.9799567461013794
160,1,1.0,0.6,0.68,0.8,0.9999969197856582,0.9999969024157066,0.6,0.8,0.98830646276474
161,1,0.8,1.0,0.99,1.0,0.9990034320830444,0.9751536940803234,0.8,0.8,0.9700248241424559
162,1,0.8,0.8,0.79,0.6,0.9927729172540024,0.9999998919399156,0.2,0.4,0.9946488738059998
163,1,1.0,0.2,1.0,0.6,0.9985221115372268,0.9668505734184027,0.6,0.8,0.97687429189682
164,1,1.0,0.0,1.0,0.4,0.6667917602936451,0.5474349301705899,0.4,0.2,0.9542535543441772
165,1,0.8,0.0,1.0,0.4,1.4877408790688844e-06,0.5275990603504536,0.4,0.4,0.2775500416755676
166,1,0.8,0.0,1.0,0.0,0.9246847439991288,9.82038127280827e-09,0.4,0.6,0.9389107823371888
167,1,0.2,0.0,1.0,0.4,3.0103595501867157e-05,0.0018595330861860644,0.4,0.2,0.853071928024292
168,1,1.0,0.8,0.87,1.0,0.9999093869757464,0.999481530803008,0.8,0.0,0.9774366021156312
169,1,1.0,0.2,1.0,0.6,0.998803766137417,0.97333478265275,0.6,0.8,0.9476041793823242
170,1,1.0,0.6,1.0,0.6,0.2473921236852501,0.2930403155883681,0.6,0.8,0.91596782207489
171,1,1.0,0.2,0.93,0.8,0.9994880461135688,0.9999963538921328,0.6,1.0,0.9572026133537292
172,1,1.0,0.4,1.0,0.8,0.013757176691390913,0.9999845698367918,0.8,0.4,0.8724218010902405
173,1,0.4,1.0,0.71,1.0,0.9973962007264484,0.9899934522386954,1.0,1.0,0.993249535560608
174,1,0.2,0.8,0.96,0.8,0.9930039001724136,0.8750700310797882,0.6,0.8,0.9688924551010132
175,1,1.0,0.8,0.68,1.0,0.9882776684534514,0.9977122906494436,1.0,0.8,0.7261541485786438
176,1,1.0,1.0,0.92,1.0,0.9999879875927792,0.9634326475048871,1.0,1.0,0.995214819908142
177,1,1.0,1.0,0.73,1.0,0.9999764497279078,0.9420333935847384,1.0,1.0,0.9927593469619752
178,1,1.0,1.0,0.92,1.0,0.9999946190384084,0.9786835947957137,1.0,1.0,0.9993451237678528
